permno,2015/1/31,2015/2/28,2015/3/31,2015/4/30,2015/5/31,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/31,2015/11/30,2015/12/31,2016/1/31,2016/2/29,2016/3/31,2016/4/30,2016/5/31,2016/6/30,2016/7/31,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/31,2017/1/31,2017/2/28,2017/3/31,2017/4/30,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/31,2018/1/31,2018/2/28,2018/3/31,2018/4/30,2018/5/31,2018/6/30,2018/7/31,2018/8/31,2018/9/30,2018/10/31,2018/11/30,2018/12/31,2019/1/31,2019/2/28,2019/3/31,2019/4/30,2019/5/31,2019/6/30,2019/7/31,2019/8/31,2019/9/30,2019/10/31,2019/11/30,2019/12/31,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31,2024/11/30,2024/12/31
10104,-0.0735511546,0.0264693837,-0.0199856452,0.0144518011,-0.0277223844,-0.0796982744,-0.0037466296,-0.0713575227,-0.0261523237,0.0759622017,0.0028300134,-0.0688228126,-0.0155958726,0.0410430236,0.0768622953,-0.0220511049,0.0085285741,0.0166412082,0.0157993026,0.0125251528,-0.0470659060,-0.0181036410,0.0460690281,-0.0432954598,0.0407384302,0.0586636221,0.0401019258,0.0142440178,0.0075476895,0.0949999436,-0.0016318712,0.0112543223,-0.0291146526,0.0471440216,-0.0361486388,-0.0255556601,0.0953815134,-0.0244504509,-0.0970974803,0.0023693244,0.0167548404,-0.0569333947,0.0864040829,0.0141959768,0.0546123736,-0.0237511208,-0.0016406570,-0.0630859542,0.1168845543,0.0507958359,0.0303079997,0.0347422840,-0.0779880440,0.1015086772,-0.0255022482,-0.0683598519,0.0550225128,0.0297240372,0.0235175681,-0.0562866498,-0.0056141575,-0.0703006137,-0.0504911643,0.1010529376,-0.0020411358,0.0416512559,0.0034722721,0.0319189872,0.0433438746,-0.0560979503,0.0303460167,0.1012936485,-0.0589239347,0.0313358310,0.0526533666,0.0847573105,0.0378273311,-0.0217434788,0.1235350155,0.0174645470,-0.0224400659,0.1048458530,-0.0542010658,-0.0283023318,-0.0744159464,-0.0477569033,0.0568483083,-0.1160257216,-0.0201638646,-0.0285058545,0.1297221119,-0.0288140704,-0.1764018561,0.2849266814,0.0635332602,-0.0155371780,0.0907585103,-0.0178657696,0.0684144490,0.0497021599,0.1166855220,0.1241282773,-0.0012028675,0.0404469355,-0.1254955833,-0.0274853273,0.1238881380,-0.0927623683,0.0635508543,-0.0217222053,0.1247314027,-0.0905378519,0.0223319421,0.1411020696,-0.0227070222,0.0274892910,0.2222070560,0.0030579415,0.0588913541,-0.0984661726
10107,-0.1407920439,0.0721542088,-0.0734979873,0.1964082580,-0.0386194388,-0.0652120867,0.0507406765,-0.0619832290,0.0170030973,0.1800040406,0.0254738534,0.0047082164,-0.0258187075,-0.0156831265,0.0504007725,-0.0970497204,0.0703387403,-0.0317910952,0.1214884408,0.0219163220,0.0024342081,0.0402759795,0.0123364009,0.0311978069,0.0278231374,-0.0214903197,0.0289032943,0.0456701812,0.0118462309,-0.0166899802,0.0614669403,0.0402488957,0.0064840424,0.1148668689,0.0170237030,0.0263983028,0.1107064096,0.0030194114,-0.0266600325,0.0246511722,0.0449178614,-0.0023261918,0.0757530202,0.0483235044,0.0209759801,-0.0724252688,0.0427476893,-0.0859406404,0.0281569264,0.0929758454,0.0527549986,0.1073413374,-0.0293129140,0.0654573156,0.0043477872,0.0019795698,0.0065910780,0.0647606506,0.0503820488,0.0417493267,0.0794535194,-0.0332584960,-0.0872725947,0.1363269540,0.0356389250,0.1131111819,0.0015135597,0.1027675481,-0.0673974599,-0.0470221969,0.0484472494,0.0287204824,0.0348424894,0.0000556467,0.0081257856,0.0696036153,-0.0089312692,0.0949879197,0.0517155367,0.0619382575,-0.0661204166,0.1762888891,-0.0012850504,0.0189041828,-0.0835181742,-0.0014375130,0.0270500571,-0.1157836066,-0.0179719137,-0.0553199817,0.0786915819,-0.0465550958,-0.1092644453,-0.0033037173,0.1022183891,-0.0600456954,0.0282143968,0.0076148300,0.1481034242,0.0953626812,0.0770427136,0.0369993552,0.0025957818,0.0029167679,-0.0396617513,0.0506846423,0.1229461964,-0.0074181939,0.0572811384,0.0142153194,0.0318860579,-0.0830023889,0.0529863037,0.0414283724,-0.0840316114,0.0018521778,0.0415859267,-0.0258430980,-0.0190006408,-0.0046287078
10138,-0.0942358051,0.0425313685,-0.0228105567,0.0278310314,-0.0152563478,-0.0317802881,-0.0070803660,-0.0680686607,-0.0260287691,0.1024971271,0.0102160604,-0.0584312768,-0.0294101294,0.0100854352,0.0366003840,0.0249118905,0.0235103305,-0.0454499828,-0.0091107190,0.0078243776,-0.0360477375,-0.0374435841,0.1570090580,0.0233825469,-0.1072276557,0.0262284998,-0.0420333341,0.0437298766,-0.0025479558,0.0415953469,0.1173827239,0.0211866454,0.0887971335,0.0244815454,0.1078578279,0.0419396724,0.0638544144,-0.0480627279,-0.0292748644,0.0541803698,0.0914177734,-0.0384883553,0.0257574405,-0.0132014568,-0.0549593846,-0.1279446022,0.0244340492,-0.0541717515,0.0123482936,0.0828025948,0.0044391690,0.0737119965,-0.0464775412,0.0766441163,0.0397998589,0.0013575264,0.0454138080,0.0618970447,0.0509495287,-0.0078388736,0.0959449658,-0.1330450903,-0.2152623165,0.1841280868,0.0340389540,0.0209181476,0.1272547767,0.0080392885,-0.0724409672,-0.0107764131,0.0910694268,0.0468142825,0.0545904165,0.0360400866,0.0177909826,0.0442878484,0.0524152419,0.0576636043,0.0312670243,0.0854843111,-0.1169072894,0.1025921442,-0.0780611763,0.0087054232,-0.2206008943,-0.0353026796,0.0666867045,-0.1963401396,0.0329157520,-0.0961072024,0.0690031321,-0.0215248249,-0.1157363607,0.0109538077,0.1766206100,-0.1175348806,0.0461686223,-0.0344833281,0.0272805059,0.0151827948,-0.0372832228,0.0568256076,0.1086512332,-0.0531501219,-0.0501431823,-0.1347187047,0.1064075813,0.0983667770,0.0070560376,0.0146808432,0.0968903465,-0.0891924164,0.0682693359,0.0112306009,0.0031632954,-0.0534679588,0.0501352822,0.0234758290,0.1075923276,-0.0773318323
10145,-0.0293865721,0.0347618784,-0.0025825988,-0.0324997969,0.0291893522,-0.0200846325,0.0214905338,-0.0504206515,-0.0461336485,0.0904861648,0.0156860457,-0.0055708049,-0.0203148007,0.0404414005,0.0583722958,0.0198170697,0.0013659511,0.0208894742,0.0163368386,0.0161089095,-0.0010263038,-0.0539473321,0.0449956416,0.0167638180,0.0200025341,0.0569311638,-0.0115556813,0.0466085932,0.0211643891,-0.0011970472,0.0287188958,0.0015564498,0.0268023406,0.0105145982,0.0873396809,0.0007821672,0.0411458213,-0.0596139285,-0.0436772382,0.0011767827,0.0287120051,-0.0260941150,0.1082957067,0.0252001948,0.0380520101,-0.1011405047,0.0189490175,-0.0844083883,0.0871178183,0.0928307171,0.0314804854,0.0925632143,-0.0340479008,0.0552415677,-0.0246024552,-0.0241689959,0.0342287469,0.0723265670,0.0277479535,-0.0086793475,-0.0213557349,-0.0716430367,-0.1853989909,0.0606166912,0.0049477621,-0.0108778218,0.0365002882,0.1145995213,-0.0056766091,0.0077578648,0.2447242252,0.0315233492,-0.0657959675,0.0195063107,0.0507797697,0.0275016851,0.0355941710,-0.0583818855,0.0658320141,0.0018072450,-0.0846458006,0.0298668904,-0.0709012644,0.0455824250,-0.0126989483,-0.0492424630,0.0436625222,-0.0154153337,0.0056520013,-0.1023155797,0.1112007069,0.0061617284,-0.1181926736,0.2218962780,0.0814340869,-0.0239115055,-0.0291970642,-0.0751404388,-0.0171260301,0.0569625912,-0.0392192184,0.0829856111,-0.0597645661,-0.0203957128,-0.0202568020,0.0035598266,0.0753678642,0.0795328627,-0.0355263554,-0.0295770552,0.0445204196,-0.0459378318,0.0406889502,0.0835752629,-0.0293905541,0.0218061692,-0.0038566812,0.0088280452,0.1463244893,-0.0302229207
10147,-0.1399683930,0.0879688921,-0.1109712343,0.0528161922,-0.0273267826,-0.0064939822,0.0177877165,-0.0751218758,-0.0237185074,0.0830229935,-0.0313469943,0.0099781564,-0.0423102156,0.0788620445,0.0080886386,-0.0202648596,0.0704720017,-0.0237882895,0.0416191622,0.0305719028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0580876660,0.1337764622,,,,,0.2308402922,0.1416462235,0.0212390839,0.0052251422,-0.0137692850,-0.0433484256,,,,,,,0.2864636098,-0.0758717115,-0.1470566114,-0.0246921643,,,,,,,,,,,,,,,,,,,,,,,,,,
10299,-0.0219820701,0.0648037967,-0.0555015446,-0.0143151424,0.0422327657,-0.0738169257,-0.0736549916,-0.0104849871,0.0017380420,0.1116120718,0.0414204572,-0.0747281152,-0.0268703007,0.0648231023,0.0499545490,-0.0017956589,0.0715438912,-0.0239147316,0.3155713917,-0.0103521369,0.0180312170,0.0129862123,0.0466232006,-0.0028785151,0.0089514965,0.0218731746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021754543,0.0213662572,-0.0012882395,,,,-0.0102871501,0.0058626967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10516,-0.1183584674,0.0141595602,-0.0094041160,0.0312235434,0.0854303412,-0.0907020063,-0.0250825073,-0.0456516575,-0.0786854958,0.1013024715,-0.1926837384,-0.0005450945,-0.0469153660,0.0170498407,0.0233942887,0.0999740149,0.0793871768,0.0014032484,0.0841759392,0.0140394252,-0.0363338187,0.0331990988,-0.0008626371,0.0559794153,-0.0242514010,0.0626894331,0.0123145911,-0.0105958586,-0.0838049403,-0.0105241724,0.0381471325,-0.0201349687,0.0155272027,-0.0410643134,-0.0162079119,0.0077927320,0.0716067299,-0.0294017056,0.0445568312,0.0463474702,-0.0217845098,0.0482614598,0.0530230577,0.0284032071,-0.0025813426,-0.0626866997,-0.0188755637,-0.1093465489,0.0959226438,-0.0306653044,0.0148240404,0.0340836228,-0.1230247878,0.0608411500,-0.0077298050,-0.0667461012,0.0885235350,0.0584068059,0.0679395628,0.0796650960,-0.0343059914,-0.1312455581,-0.0942324191,0.0557136046,0.0340132240,0.0259708410,0.0867807879,0.0535520248,0.0386520931,-0.0077243781,0.0042792020,0.0059862259,0.0113219413,0.1490577043,-0.0064505310,0.1075448662,0.0525038831,-0.1077734567,-0.0145217367,0.0168667006,0.0001656598,0.0704890499,-0.0262051998,0.0933393555,0.1217500156,0.0628445008,0.1243135341,0.0029096957,0.0186466972,-0.1455632968,0.0715941085,0.0665053003,-0.0846527745,0.2054694185,0.0096161691,-0.0476922848,-0.1102887112,-0.0429405684,-0.0112938849,-0.0115196219,-0.0863159704,0.0694988039,0.1385706606,-0.0596432301,-0.0660065340,-0.0354441811,0.0364572642,-0.0132557561,-0.2304074601,-0.0426408408,0.1848713539,-0.0591816300,0.0786293994,0.0069954644,0.0225918681,0.0169489844,-0.0180799337,-0.0608945742,-0.0075049640,-0.0747262162
10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1597859765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
