permno,2015/1/31,2015/2/28,2015/3/31,2015/4/30,2015/5/31,2015/6/30,2015/7/31,2015/8/31,2015/9/30,2015/10/31,2015/11/30,2015/12/31,2016/1/31,2016/2/29,2016/3/31,2016/4/30,2016/5/31,2016/6/30,2016/7/31,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/31,2017/1/31,2017/2/28,2017/3/31,2017/4/30,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/31,2018/1/31,2018/2/28,2018/3/31,2018/4/30,2018/5/31,2018/6/30,2018/7/31,2018/8/31,2018/9/30,2018/10/31,2018/11/30,2018/12/31,2019/1/31,2019/2/28,2019/3/31,2019/4/30,2019/5/31,2019/6/30,2019/7/31,2019/8/31,2019/9/30,2019/10/31,2019/11/30,2019/12/31,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31,2024/11/30,2024/12/31
1,0.053014596,0.013935147,0.062480086,0.016539532,-0.039634791,-0.03032387,0.203264875,0.016684262,-0.063912139,0.0236781,-0.052801858,-0.006900303,0.012233581,0.091573741,-0.019436985,0.043327174,0.149005178,0.131688795,0.097995758,0.03727372,0.007289903,-0.013403064,-0.046531239,0.003180393,0.091852893,-0.124606691,0.095131035,-0.018510557,0.026020044,-0.050085563,0.185671371,0.056870775,-0.090751548,0.024237296,0.060655826,0.167537513,-0.031565962,-0.037928541,0.00383457,-0.096910451,-0.07516231,0.080510158,0.124602723,0.003614414,0.017796752,0.12836649,-0.013955469,0.091038531,0.031581511,-0.027762196,-0.067041583,0.175084092,0.145369534,0.022306316,-0.023730634,0.11961871,0.114100429,-0.06372777,-0.068702516,0.094156168,-0.113277092,-0.048929985,-0.008395185,-0.010598215,-0.082867952,0.155124422,0.119499431,0.114884145,-0.029406246,-0.072237248,0.040682846,-9.74294E-05,0.023496406,0.102997255,0.183608535,-0.14202641,-0.016438897,-0.002116238,-0.024277151,0.035575152,-0.000723071,-0.022494512,-0.038995224,0.146483767,-0.093122948,0.102921988,0.113279909,-0.093965549,-0.09061329,-0.079486124,-0.051392269,-0.04314593,0.139114009,-0.061357868,0.042833571,-0.033042683,-0.038755824,0.036892916,0.035490667,0.070728037,-0.035304979,0.051684483,0.106805031,0.159412208,0.045849197,-0.024186685,-0.086165919,-0.06142162,0.158047468,-0.134756941,-0.052523998,-0.096513172,0.035797644,0.008620727,-0.114703743,-0.038729754,-0.147167441,0.009574717,0.052203159,-0.099707243
2,0.033479518,0.07868181,0.047901731,-0.06457938,0.064152506,-0.061107388,0.198520285,-0.033951281,-0.022638775,0.134131284,0.022667332,0.042726119,0.029085577,-0.047191251,-0.03309755,0.071078104,0.207058839,0.120242041,0.034762075,0.166226482,-0.044147101,-0.02927428,-0.025064557,0.108379465,0.057898901,-0.022289329,0.188609961,-0.060373598,-0.020318459,-0.0523678,0.197073904,0.006395646,-0.062927025,0.184468767,-0.057376164,0.085163722,-0.068149448,0.047644442,0.013208503,0.000762478,-0.099522842,0.102514209,0.10267928,-0.024015327,0.08319518,0.085251158,-0.061532948,0.013445925,0.044505618,-0.001914071,-0.126050212,0.169409999,-0.034514893,0.052212415,0.03435527,0.083255515,0.10632535,0.037819757,0.015342221,-0.006592171,-0.078054708,0.081763341,-0.005759838,0.011701502,0.011075553,0.230808034,0.136667445,0.169519346,-0.012760321,-0.01086651,0.02830751,0.051350017,0.029421934,-0.001658419,0.304052272,-0.107061974,-0.004776388,-0.002053848,-0.21117957,0.040842542,0.123757697,0.020757592,-0.083709499,-0.055379842,0.05124425,0.112454695,-0.081721938,0.026471498,-0.203786034,-0.102771067,-0.012469625,-0.185516008,0.168346555,0.006828228,0.095434305,0.00829186,-0.120800387,0.113652495,-0.072440097,-0.052144379,-0.01820692,-0.006970861,0.084953322,0.094349858,0.08668216,0.06150358,-0.031368192,-0.054911374,0.018950326,-0.185162472,-0.096986103,-0.026430177,0.04952695,0.095079361,-0.107777769,-0.178774769,0.031300139,-0.065372645,0.021458916,-0.02017848
3,-0.00292478,0.040039331,0.056952943,0.110100219,0.124042617,0.013015477,-0.016774418,-0.080602137,0.065379318,0.042876388,-0.020894766,-0.038656932,-0.036056875,0.032879013,-0.040423202,0.013325934,0.124032897,0.006668398,0.008876609,-0.056569771,-0.071348444,0.040036604,0.02088871,0.075011976,0.045443222,0.007354269,-0.077961703,0.005951584,-0.017589893,0.093188777,0.138117207,-0.099447279,-0.005490559,-0.009038245,0.029187073,0.064665542,0.054857515,0.038592697,-0.012725239,-0.068507927,0.015934004,-0.017625928,0.063784409,0.07503906,0.027682885,0.126647709,-0.003943139,-0.034288813,-0.044364643,-0.052802599,-0.027959442,0.037540253,0.023906574,0.064418516,0.008119356,0.08961475,0.14767644,0.03319388,0.059665749,0.059601048,0.019698928,-0.043051945,-0.019468842,-0.054654351,-0.029989025,0.064526378,-0.034648362,0.06582852,0.023353435,0.085191005,-0.057650294,0.040760504,-0.06384275,0.060473505,0.030395374,-0.121151651,0.040379892,-0.067506631,-0.034253143,-0.025296219,0.038072554,-0.004885322,-0.030635838,0.06699677,-0.043532539,0.029583461,0.081062753,-0.041674395,-0.002394173,0.118494162,0.165102701,-0.003875726,0.049444695,0.0113605,0.031558045,0.010249763,-0.080816895,0.126652341,-0.030243435,0.032835156,0.065378414,0.010018883,0.017514801,0.127201014,-0.003210637,-0.002488262,-0.019950147,0.019534963,-0.045416657,0.149601297,-0.040964348,-0.115223928,0.002041212,0.004651367,0.024742979,-0.015620225,-0.033442771,-0.025569725,0.009780567,-0.018734129
4,-0.031593807,0.022419551,0.096924534,-0.130022784,0.071127393,0.016915095,0.077998737,-0.057398313,-0.110317978,0.155007798,-0.040736961,0.128115962,0.07465959,-0.024350797,0.088895674,-0.00028806,0.236928576,0.072900331,0.080421139,0.120269654,0.071831289,0.012682022,0.008574608,-0.041593376,-0.030726895,-0.049866059,0.171820538,0.048190246,0.074777227,-0.006825943,0.183204605,0.011891415,-0.05706022,0.082543045,-0.086550466,0.308242916,-0.08195198,-0.060398491,0.032800479,-0.111566024,0.047470997,0.05167354,0.042989756,8.37014E-05,-0.123310539,0.0402641,-0.060731159,-0.003985366,0.176808154,-0.063174743,-0.086808576,0.246118377,0.007414426,0.145771189,0.041767806,0.02348414,0.090022556,-0.043539366,0.069477541,0.045503007,0.061911909,0.089585161,-0.025487639,0.03456613,0.080502151,0.087466119,-0.011611821,0.060043546,-0.028917439,0.002633847,-0.038516029,0.064789153,0.065830831,0.025272663,0.246486177,0.019098851,-0.035811798,-0.044601165,-0.108644127,-0.020665616,0.057737637,-0.076174868,-0.022086733,-0.005503682,0.070626782,0.175219048,0.086760391,-0.068429835,-0.098761744,0.053032145,-0.101118942,-0.10818239,0.041312914,-0.027308895,-0.079167931,0.052070889,-0.044980401,0.03085393,-0.009049374,-0.016978148,0.048060541,0.075033763,0.155710662,-0.084201409,0.065025497,0.029234015,0.009569962,0.024804142,0.105843112,-0.116305113,-0.034955012,-0.088116356,0.001740931,0.081430971,-0.113541204,-0.037747479,-0.051820714,-0.093954061,0.05760044,-0.091577064
5,0.009108935,-0.027817952,0.042126872,-0.056112271,-0.018558115,-0.076053051,0.095246865,-0.081947196,-0.02689843,0.138635719,-0.085672811,-0.035938035,0.038972223,-0.028441299,0.011146255,0.012196388,0.082342888,0.015910478,0.049019296,0.009136333,-0.065880476,-0.061064956,0.022943384,0.073048439,0.055529139,-0.028580841,0.048279364,-0.01249946,0.03661439,-0.109589035,0.0449462,-0.016408497,-0.031601474,0.089476282,0.003006487,-0.028209038,-0.010656911,0.093126632,0.033162911,-0.101314799,-0.015576985,0.039467802,0.076857391,0.030808548,0.0503765,0.04026457,-0.148076599,0.004242164,0.086428535,0.039709871,-0.030856956,0.012163767,-0.01144905,-0.043137915,-0.041259545,0.044028305,0.102134358,0.067384473,0.022901752,0.091239372,-0.12058604,0.054773788,0.003584734,-0.078907142,0.003804855,0.105233692,-0.002064641,0.206880956,-0.048523899,0.094466211,0.004690347,0.039889647,0.062613629,-0.018074766,0.080617849,-0.043612827,-0.067940102,-0.045460124,-0.059766991,-0.037263043,-0.001997537,0.044853314,0.044950588,-0.040735054,-0.009159972,-0.022367893,0.010732289,0.041540219,-0.034223092,-0.145252033,-0.075823887,-0.08495713,0.082331916,0.131096227,0.047496188,0.054378812,-0.101337142,0.108060611,-0.092805931,-0.049615998,-0.031608752,-0.056907902,0.055439326,-0.053821078,-0.071513689,-0.04497798,0.04206682,0.002868093,0.007249881,-0.08471598,-0.066823972,-0.102977643,0.004895384,0.011635922,-0.133519332,-0.006856706,-0.020254057,0.026626316,0.039483028,-0.028159828
6,0.007683346,0.061477022,-0.004218354,-0.041090075,0.032697257,-0.013959567,-0.012301068,-0.072430156,0.137103814,-0.062062125,-0.005797761,-0.002028712,0.088861749,-0.025024732,-0.030870591,-0.036296857,0.061337541,0.103924324,-0.014181728,0.102045997,-0.01167721,0.050583655,-0.081093399,-0.064697189,0.021128628,-0.027127094,0.033110745,0.02903714,-0.084953614,-0.020131071,0.043813896,0.03881865,0.025077281,0.039087238,0.029968329,0.136470643,-0.089482856,0.005150939,0.016753701,-0.032035113,0.020681631,0.075786485,0.03065517,-0.06062548,0.085628171,0.089897277,0.094819239,0.052530656,0.031265087,-0.012371084,-0.002395387,0.145473715,-0.033184829,-0.056318717,-0.081361977,0.070504836,0.129770824,0.098350224,0.009057593,0.163455804,0.050623405,0.047829708,-0.03647424,-0.036597667,0.031308566,0.082902199,0.056997286,0.103828791,-0.074521601,0.007737469,-0.018834611,0.077458111,-0.020695065,0.037662031,0.094230951,-0.039629203,-0.089973022,-0.040352709,-0.017699695,0.016702172,0.009518573,0.11012353,0.016179421,-0.10735657,0.113537165,0.107202932,-0.022890436,-0.093327373,-0.048024728,-0.095434196,-0.054591444,-0.100612708,0.073087459,0.01843686,0.023242285,0.023925109,0.032872133,0.164839523,-0.0289698,-0.006198493,-0.078161365,0.148020998,0.062193158,-0.039562533,0.12431902,-0.012445251,0.116002001,0.107948157,-0.000330967,-0.06477871,-0.065154114,-0.093432906,-0.023810835,0.006249291,-0.047044938,-0.047204428,-0.068023517,-0.064122278,-0.059376366,-0.005980848
7,0.055752046,0.074814676,0.031852531,0.041917643,0.116805696,0.019375592,0.004096575,-0.042923993,-0.014147728,0.002488182,-0.041288059,-0.043916126,0.025422253,-0.03012326,-0.009548064,0.034167236,0.276908727,0.181108562,0.024315458,0.028781808,-0.099868331,-0.020795439,0.034038625,-0.023709439,0.102120439,-0.08065951,0.130743904,0.031790989,-0.048755121,-0.098946399,0.10157931,0.003551508,0.095018774,0.119970396,-0.015496967,0.035114009,-0.097495497,-0.016840416,0.00143593,0.004220937,-0.085811858,-0.017659807,0.049140776,0.003309726,-0.014614571,0.012615306,-0.033120025,-0.012006647,0.061618707,0.053921694,-0.021189433,0.040146644,0.016131476,-0.081963702,0.023323946,0.029913795,0.202730903,0.06187682,0.084555745,0.082507633,0.025794487,0.02840617,-0.04448575,0.030326592,-0.072894146,0.100990906,-0.024878819,0.038679967,-0.040962432,-0.032169346,0.036162916,-0.016880043,-0.074072305,-0.043688732,0.16674658,0.026386789,-0.092763497,0.022466368,-0.102227139,-0.085747927,-0.099118283,0.022419692,0.013884853,0.024409839,0.008865555,-0.045637781,-0.002577915,-0.027760376,-0.110429305,-0.044264769,0.081838846,-0.070390778,0.022872313,-0.036482525,0.02394291,-0.031474921,-0.068611171,-0.019025928,-0.043574792,0.040357918,0.094849656,0.000943257,0.104264521,0.02925909,0.056729328,0.113925943,-0.007698763,0.065119909,-0.079366783,-0.039748048,-0.09206299,-0.093115025,0.030903124,0.000243248,-0.041605004,-0.054118158,0.010491118,-0.085747943,-0.028969586,-0.062073097
8,-0.052729112,-0.04589761,0.022186395,-0.062078676,0.117232983,-0.116017645,0.064848426,-0.117419122,0.040745379,-0.05534098,0.017765761,0.077010879,0.03500525,-0.023618383,-0.0004061,0.004786368,0.116776357,0.048350462,-0.006290871,0.093779632,0.082190897,-0.025980263,-0.055310069,0.098068994,-0.058830129,0.0324833,0.055870851,-0.035421544,0.075444384,-0.180927153,0.039878925,0.150929809,-0.063347095,0.045430629,-0.057857548,0.07151902,-0.015370365,0.074318449,0.08281568,0.035445283,-0.065309438,0.046466174,0.078232278,0.058501524,0.044506123,0.115793612,0.004919361,-0.06922368,-0.034002357,0.010870564,-0.055461599,0.146636652,-0.026086776,-0.008799347,-0.028909954,0.115248675,0.084652224,-0.005585808,0.075641028,-0.03908383,0.047590738,0.011713685,-0.011501578,-0.057148706,0.001948625,0.121823359,0.097440273,0.126691587,0.048974696,-0.029138445,0.096821572,0.035060875,-0.030014903,-0.044201555,0.111716638,-0.03918186,0.006145648,-0.036181546,-0.033145497,-0.045260859,-0.025588359,-0.038223452,0.036187871,0.01905461,-0.022910215,0.012908631,0.025696381,0.088088636,-0.011774499,-0.162735002,-0.055963672,-0.054390871,0.027202339,-0.050797553,0.065229143,0.066211173,-0.068390673,-0.002862233,-0.026600617,0.012248832,0.021521564,0.045060089,0.09788291,0.007968052,0.038136277,0.02556057,0.007409907,0.103164848,0.034393535,-0.061178584,0.020725453,-0.039760417,-0.031524191,-0.006898263,-0.138979757,0.033992394,0.014119936,0.004012177,-0.04178961,-0.079716636
9,-0.010173954,-0.006220172,-0.004947365,-0.01508831,0.070571802,-0.067812212,0.128833753,-0.066208799,-0.008087485,-0.043958937,-0.007447551,-0.024848411,-0.016045132,-0.013665834,0.041227094,-0.030781756,0.060171896,0.187467797,0.12744867,0.035733717,-0.022330729,0.070770937,-0.004316468,0.023561525,0.096293919,-0.004568818,0.1365693,0.01658773,-0.032249258,0.038471298,0.018471645,-0.091169068,0.050452869,0.039454263,-0.042226393,0.021695837,-0.08422866,-0.017314762,0.076873037,-0.015288482,0.019101815,0.059035412,0.001044651,0.054424501,-0.017411849,0.034202266,0.03369993,-0.012105355,0.058420084,0.060056868,-0.00878868,-0.016500275,0.001602735,0.040556667,0.004540346,0.009091632,0.143070707,0.105800746,0.010223053,0.075430741,-0.036394181,0.034937988,-0.097355201,-0.063417775,0.115791041,0.058571872,0.04256572,0.110957929,0.019666334,-0.058143808,-0.097944059,0.013130299,-0.001771831,-0.040520839,0.090357682,-0.069333228,-0.08535862,-0.003184702,-0.09947895,0.108773326,0.091276635,0.080899362,0.036622003,0.100267828,0.017804691,0.047479902,-0.01365347,-0.052478262,-0.025862395,-0.054558586,0.006971128,0.03063412,0.097415049,0.029377684,0.003299904,0.063460393,0.070999876,0.078588488,-0.029856068,-0.087889881,-0.100132685,0.072656885,0.06947486,0.113351588,0.106684565,-0.039741076,-0.058574659,0.007458927,0.040833118,-0.057738166,-0.095233807,-0.137204112,0.026391976,0.010997345,-0.072903334,-0.100808773,0.084460976,0.047582339,-0.018357973,-0.102313901
10,0.00759345,0.001730472,0.024978389,0.10145209,0.056298023,0.030434653,0.056439578,0.042200155,0.028085452,0.109053072,0.022892242,0.00053951,-0.075724308,-0.0684486,0.065157426,-0.00156324,0.03116812,0.071551198,0.085499421,0.054868218,0.021813584,-0.021406202,0.009291413,0.038340159,0.08869134,0.021581007,0.057010832,-0.02736978,0.156610206,-0.031709061,0.206982711,-0.066239951,-0.019083813,0.06453132,0.006533269,0.038065387,-0.040432926,-0.048978611,0.059808702,-0.034622379,-0.037687744,0.113534618,0.071320883,0.049689136,0.027367989,0.097087548,-0.075493824,0.004362007,0.034800441,0.061084166,-0.023109459,0.058275193,-0.076553411,-0.042972234,-0.03084665,0.000912037,0.170976537,0.034620645,0.06871428,0.002235006,-0.093252565,0.090370132,-0.028134448,0.03251002,-0.021295582,0.136348003,-0.016274434,0.021846439,-0.01993259,0.000398845,-0.00212054,0.03292875,-0.096672263,-0.04020914,0.157057915,0.081728534,-0.033823458,0.019902898,-0.164597345,0.049259993,0.058387182,0.168187162,-0.025767871,0.174111035,-0.018726923,0.010401852,0.085273167,-0.093570884,-0.08676548,-0.064950764,-0.042868673,-0.004943408,0.114148539,0.059327311,-0.037805808,-0.018434116,0.015820977,0.002977383,-0.003954296,-0.028020844,0.035930266,0.010317839,0.117484743,0.000147007,-0.05716397,0.029607524,-0.023675932,-0.061834187,0.014088826,-0.086802365,-0.067563288,-0.16377562,0.014168845,0.075243992,-0.134569504,-0.012643723,-0.010580081,-0.05826382,0.054963121,-0.024826118
