month,p_after_drop,n_obs,n_total_days,est_days,oos_days,k_req,k_used,dropped,lw_delta
201501_full,500,42,61,42,19,1,1,0,0.0
201502_full,500,42,61,42,19,1,1,0,0.0
201503_full,500,42,61,42,19,1,1,0,0.0
201504_full,500,42,62,42,20,1,1,0,0.0
201505_full,500,42,63,42,21,1,1,0,0.0
201506_full,500,42,63,42,21,1,1,0,0.0
201507_full,500,42,64,42,22,1,1,0,0.0
201508_full,500,42,65,42,23,1,1,0,0.0
201509_full,500,42,64,42,22,1,1,0,0.0
201510_full,500,42,64,42,22,1,1,0,0.0
201511_full,500,42,63,42,21,1,1,0,0.0
201512_full,500,42,64,42,22,1,1,0,0.0
201601_full,500,42,61,42,19,1,1,0,0.0
201602_full,500,42,61,42,19,1,1,0,0.0
201603_full,500,42,61,42,19,1,1,0,0.0
201604_full,500,42,63,42,21,1,1,0,0.0
201605_full,500,42,64,42,22,1,1,0,0.0
201606_full,500,42,64,42,22,1,1,0,0.0
201607_full,500,42,63,42,21,1,1,0,0.0
201608_full,500,42,65,42,23,1,1,0,0.0
201609_full,500,42,64,42,22,1,1,0,0.0
201610_full,500,42,65,42,23,1,1,0,0.0
201611_full,500,42,63,42,21,1,1,0,0.0
201612_full,500,42,63,42,21,1,1,0,0.0
201701_full,500,42,62,42,20,1,1,0,0.0
201702_full,500,42,60,42,18,1,1,0,0.0
201703_full,500,42,62,42,20,1,1,0,0.0
201704_full,500,42,61,42,19,1,1,0,0.0
201705_full,500,42,64,42,22,1,1,0,0.0
201706_full,500,42,63,42,21,1,1,0,0.0
201707_full,500,42,64,42,22,1,1,0,0.0
201708_full,500,42,65,42,23,1,1,0,0.0
201709_full,500,42,63,42,21,1,1,0,0.0
201710_full,500,42,65,42,23,1,1,0,0.0
201711_full,500,42,63,42,21,1,1,0,0.0
201712_full,500,42,63,42,21,1,1,0,0.0
201801_full,500,42,62,42,20,1,1,0,0.0
201802_full,500,42,60,42,18,1,1,0,0.0
201803_full,500,42,61,42,19,1,1,0,0.0
201804_full,500,42,61,42,19,1,1,0,0.0
201805_full,500,42,64,42,22,1,1,0,0.0
201806_full,500,42,64,42,22,1,1,0,0.0
201807_full,500,42,64,42,22,1,1,0,0.0
201808_full,500,42,65,42,23,1,1,0,0.0
201809_full,500,42,63,42,21,1,1,0,0.0
201810_full,500,42,65,42,23,1,1,0,0.0
201811_full,500,42,63,42,21,1,1,0,0.0
201812_full,500,42,63,42,21,1,1,0,0.0
201901_full,500,42,61,42,19,1,1,0,0.0
201902_full,500,42,59,42,17,1,1,0,0.0
201903_full,500,42,61,42,19,1,1,0,0.0
201904_full,500,42,61,42,19,1,1,0,0.0
201905_full,500,42,64,42,22,1,1,0,0.0
201906_full,500,42,63,42,21,1,1,0,0.0
201907_full,500,42,64,42,22,1,1,0,0.0
201908_full,500,42,64,42,22,1,1,0,0.0
201909_full,500,42,64,42,22,1,1,0,0.0
201910_full,500,42,65,42,23,1,1,0,0.0
201911_full,500,42,63,42,21,1,1,0,0.0
201912_full,500,42,64,42,22,1,1,0,0.0
202001_full,500,42,62,42,20,1,1,0,0.0
202002_full,500,42,61,42,19,1,1,0,0.0
202003_full,500,42,62,42,20,1,1,0,0.0
202004_full,500,42,62,42,20,1,1,0,0.0
202005_full,500,42,63,42,21,1,1,0,0.0
202006_full,500,42,63,42,21,1,1,0,0.0
202007_full,500,42,64,42,22,1,1,0,0.0
202008_full,500,42,65,42,23,1,1,0,0.0
202009_full,500,42,64,42,22,1,1,0,0.0
202010_full,500,42,64,42,22,1,1,0,0.0
202011_full,500,42,63,42,21,1,1,0,0.0
202012_full,500,42,64,42,22,1,1,0,0.0
202101_full,500,42,61,42,19,1,1,0,0.0
202102_full,500,42,60,42,18,1,1,0,0.0
202103_full,500,42,61,42,19,1,1,0,0.0
202104_full,500,42,63,42,21,1,1,0,0.0
202105_full,500,42,64,42,22,1,1,0,0.0
202106_full,500,42,63,42,21,1,1,0,0.0
202107_full,500,42,63,42,21,1,1,0,0.0
202108_full,500,42,65,42,23,1,1,0,0.0
202109_full,500,42,64,42,22,1,1,0,0.0
202110_full,500,42,64,42,22,1,1,0,0.0
202111_full,500,42,63,42,21,1,1,0,0.0
202112_full,500,42,64,42,22,1,1,0,0.0
202201_full,500,42,63,42,21,1,1,0,0.0
202202_full,500,42,61,42,19,1,1,0,0.0
202203_full,500,42,62,42,20,1,1,0,0.0
202204_full,500,42,62,42,20,1,1,0,0.0
202205_full,500,42,64,42,22,1,1,0,0.0
202206_full,500,42,62,42,20,1,1,0,0.0
202207_full,500,42,62,42,20,1,1,0,0.0
202208_full,500,42,64,42,22,1,1,0,0.0
202209_full,500,42,64,42,22,1,1,0,0.0
202210_full,500,42,65,42,23,1,1,0,0.0
202211_full,500,42,63,42,21,1,1,0,0.0
202212_full,500,42,63,42,21,1,1,0,0.0
202301_full,500,42,62,42,20,1,1,0,0.0
202302_full,500,42,60,42,18,1,1,0,0.0
202303_full,500,42,62,42,20,1,1,0,0.0
202304_full,500,42,61,42,19,1,1,0,0.0
202305_full,500,42,64,42,22,1,1,0,0.0
202306_full,500,42,62,42,20,1,1,0,0.0
202307_full,500,42,63,42,21,1,1,0,0.0
202308_full,500,42,64,42,22,1,1,0,0.0
202309_full,500,42,63,42,21,1,1,0,0.0
202310_full,500,42,65,42,23,1,1,0,0.0
202311_full,500,42,63,42,21,1,1,0,0.0
202312_full,500,42,63,42,21,1,1,0,0.0
202401_full,500,42,62,42,20,1,1,0,0.0
202402_full,500,42,61,42,19,1,1,0,0.0
202403_full,500,42,61,42,19,1,1,0,0.0
