permno,weight
1.0,5.832439854150606e-19
2.0,7.623652827725456e-19
3.0,0.003815773215337435
4.0,6.223091526159215e-19
5.0,3.199950451984134e-19
6.0,4.025992012469929e-19
7.0,3.0326221005172563e-19
8.0,1.5407339740744486e-19
9.0,3.6780857539896957e-19
10.0,2.0620607079206474e-19
11.0,4.938957952422209e-19
12.0,5.216869652272958e-19
13.0,3.7538010174614488e-19
14.0,1.2131374192355588e-19
15.0,2.9733511277280537e-19
16.0,4.884220850718074e-19
17.0,6.232697172975456e-19
18.0,2.2564876334453156e-19
19.0,3.445042840002469e-19
20.0,5.415747188612071e-19
21.0,0.002655500072964331
22.0,5.366338288740796e-19
23.0,2.812564736805825e-19
24.0,6.057048561351737e-19
25.0,1.554284692643189e-19
26.0,0.052953404875839175
27.0,9.295107325001085e-20
28.0,4.7687160324104795e-19
29.0,5.503667799413361e-19
30.0,3.128952071941891e-19
31.0,5.521704047289162e-19
32.0,0.002171276159469777
33.0,5.463818541668882e-19
34.0,9.017297141041334e-20
35.0,4.2593332300286115e-19
36.0,4.872900641509122e-19
37.0,3.5983729326126235e-19
38.0,3.9250409996907884e-19
39.0,6.345377829011439e-19
40.0,2.483042256150016e-19
41.0,5.357196551627046e-19
42.0,1.4107154481897596e-19
43.0,6.114674079209811e-19
44.0,7.081196990521619e-19
45.0,0.05038693676661351
46.0,2.078897310463351e-19
47.0,5.841147373965126e-19
48.0,3.1818478215993597e-19
49.0,3.790630202368207e-19
50.0,2.5499227132544953e-19
51.0,2.3754819381651785e-19
52.0,4.0546912983543436e-19
53.0,6.17927195207715e-19
54.0,5.47788894771835e-19
55.0,3.0302631747573265e-19
56.0,4.431146347995995e-19
57.0,3.7660902343446155e-19
58.0,3.7153608202228953e-19
59.0,7.519164512369501e-19
60.0,4.883416905253574e-19
61.0,4.2558629653684733e-19
62.0,8.654033446133458e-19
63.0,6.900657734323444e-19
64.0,4.756549060915112e-19
65.0,5.370764151299002e-19
66.0,2.2587636404485313e-19
67.0,0.03345444722241141
68.0,1.531673875535754e-19
69.0,0.04531024174929
70.0,2.545547554980696e-19
71.0,5.1337452233243655e-19
72.0,7.139701805472026e-19
73.0,3.746208065889769e-19
74.0,4.1085151130853337e-19
75.0,6.512904135256297e-19
76.0,0.1258930066095063
77.0,4.3291820079773093e-19
78.0,5.724345065631481e-19
79.0,0.014264864257188382
80.0,6.685538016657381e-19
81.0,5.402640247677295e-19
82.0,1.9603526109919868e-19
83.0,6.236214424564101e-19
84.0,8.892598977256487e-19
85.0,5.253288780231848e-19
86.0,4.536651055937587e-19
87.0,3.498160138440522e-19
88.0,2.520979761096616e-19
89.0,5.489896817482806e-19
90.0,2.80758145553069e-19
91.0,4.921597342772229e-19
92.0,4.800793499939183e-19
93.0,6.754331399117411e-19
94.0,4.944606996809882e-19
95.0,6.480706765099034e-19
