permno,weight
1.0,2.555898662952833e-19
2.0,5.219956457756796e-19
3.0,0.028352222672049652
4.0,2.5242227612263027e-19
5.0,2.2092687153115663e-19
6.0,1.205462431391315e-19
7.0,2.194381544251248e-19
8.0,1.8501477112967815e-19
9.0,2.3239916912392425e-19
10.0,1.7692290279472937e-19
11.0,2.6916479258553426e-19
12.0,2.800639521247046e-19
13.0,1.668606790538736e-19
14.0,9.328665944746022e-20
15.0,2.1206689570396762e-19
16.0,3.564965045833949e-19
17.0,3.790075230986603e-19
18.0,2.849595513745404e-19
19.0,3.3447458919913584e-19
20.0,3.837497941253081e-19
21.0,1.0672339787658446e-19
22.0,3.058541447063381e-19
23.0,1.6684276338114408e-19
24.0,4.496033787497417e-19
25.0,1.4478296455111775e-19
26.0,0.021575373849896492
27.0,0.02610609332963473
28.0,1.371341402375143e-19
29.0,2.2748078924652597e-19
30.0,1.0815661189061445e-19
31.0,3.9436102583898234e-19
32.0,0.020631915007954343
33.0,1.7496440445551586e-19
34.0,1.0850237411649354e-19
35.0,1.379904708122786e-19
36.0,2.860964053348484e-19
37.0,6.56141912021032e-20
38.0,1.9877275879012903e-19
39.0,3.964835031826136e-19
40.0,1.7394109683305698e-19
41.0,3.4955209007960035e-19
42.0,1.7159464664598544e-19
43.0,4.360363919558522e-19
44.0,4.420103758547221e-19
45.0,0.0790331255151504
46.0,2.012080159542042e-19
47.0,3.826306987674314e-19
48.0,2.279920101577427e-19
49.0,2.6989093790944086e-19
50.0,1.9707142071867586e-19
51.0,2.4861233518032787e-19
52.0,2.0893565415838392e-19
53.0,3.9780155811217617e-19
54.0,3.346168027955904e-19
55.0,1.488967578399821e-19
56.0,9.150912258262149e-20
57.0,2.0883252983709403e-19
58.0,2.1335399887876988e-19
59.0,3.3110920845659277e-19
60.0,1.2785545468162047e-19
61.0,2.8732036465830227e-19
62.0,4.3226145861823654e-19
63.0,3.6405817143023675e-19
64.0,1.1175233022821126e-19
65.0,4.300341693008289e-19
66.0,2.758257960632313e-19
67.0,0.0858647318838094
68.0,0.00021086766426741386
69.0,7.493576340563275e-20
70.0,7.787503053383206e-20
71.0,2.652384333500955e-19
72.0,3.9422578283533517e-19
73.0,3.2552640553372834e-19
74.0,3.121865410557776e-19
75.0,3.7322152673127743e-19
76.0,0.020766345741848304
77.0,2.5814848450025025e-19
78.0,2.693626562000738e-19
79.0,1.139251695046188e-19
80.0,4.651196694592706e-19
81.0,3.0281681675408344e-19
82.0,1.7871017220930492e-19
83.0,3.1602699958322376e-19
84.0,5.498713640179642e-19
85.0,2.3888822813039477e-19
86.0,3.453130850358643e-19
87.0,2.2505107454792687e-19
88.0,7.16954642284498e-20
89.0,4.535637525622811e-19
90.0,2.04778170380319e-19
91.0,2.0487761400650367e-19
92.0,8.801693313841843e-20
93.0,3.411345150937485e-19
94.0,3.3509325592484583e-19
95.0,4.39533259320183e-19
96.0,1.724495662860009e-19
97.0,1.8876041202863092e-19
98.0,1.4065528852318283e-19
99.0,1.230962363003885e-19
100.0,4.682309594244993e-19
101.0,3.6713330688925394e-19
102.0,1.1361127313043116e-19
103.0,2.9819731054400123e-19
104.0,4.0141132533299585e-19
105.0,3.2372114881915347e-19
106.0,4.966434853459385e-19
107.0,1.5392518648371868e-19
108.0,1.0363216794119568e-19
109.0,1.287593757787136e-19
110.0,3.861581326892431e-19
111.0,2.536621720107141e-19
112.0,2.729777660841725e-19
113.0,1.5832235105942412e-19
114.0,5.505337775030811e-20
115.0,5.270287258404181e-19
116.0,2.484270850351689e-19
117.0,3.282441514713129e-19
118.0,3.2863483703635903e-19
119.0,2.5859043480812373e-19
120.0,2.8589226652949143e-19
121.0,1.1131042602960898e-19
122.0,3.0285997443172655e-19
123.0,4.477993006008164e-19
124.0,5.096262628537742e-19
125.0,4.704007202358615e-19
126.0,1.776399867685133e-19
127.0,0.0056028223531634945
128.0,2.439964550107131e-19
129.0,2.954124958252002e-19
130.0,3.8980831698471115e-19
131.0,0.034147518316493174
132.0,5.351050097411489e-19
133.0,2.458498786405407e-19
134.0,2.2951697534249726e-19
135.0,1.1686114064821897e-19
136.0,6.083613693211821e-20
137.0,4.2080357559615915e-19
138.0,2.307564075499616e-19
139.0,1.2554378909141942e-19
140.0,0.041483618587378916
141.0,2.607101802088876e-19
142.0,4.867854149236253e-19
143.0,2.0097275218765741e-19
144.0,0.03927527977078968
145.0,2.4685280094258746e-19
146.0,2.35893697407363e-19
147.0,0.1041797062827696
148.0,1.6562138946258783e-19
149.0,1.6914060329730765e-19
150.0,3.3336506391677252e-19
151.0,4.375164469195186e-19
152.0,4.38337636116388e-19
153.0,2.0689630109797126e-19
154.0,9.193787162062703e-20
155.0,5.488970018611403e-19
156.0,2.6323717772627196e-19
157.0,1.9803336892877597e-19
158.0,1.8147891470238816e-19
159.0,3.3369923731529613e-19
160.0,1.9350414897064975e-19
161.0,1.6325082378138576e-19
162.0,7.865843327722525e-20
163.0,2.11722001112006e-19
164.0,1.2514535908858484e-19
165.0,6.798685374961794e-20
166.0,1.3400180663011778e-19
167.0,2.322124824892249e-19
168.0,4.823701162972295e-19
169.0,0.07272915153445939
170.0,3.0963847053073035e-19
171.0,4.4606883785753955e-19
172.0,0.03861221749163946
173.0,1.8055560919832328e-19
