date,realized_variance,n_oos_days
2015-01-31,0.00013033238995588763,19
2015-02-28,9.684560884783773e-05,19
2015-03-31,0.0001473639992053117,19
2015-04-30,0.0001214490207605225,20
2015-05-31,6.508821815613049e-05,21
2015-06-30,5.642298567054421e-05,21
2015-07-31,6.758294884931431e-05,22
2015-08-31,0.00015553807596055806,23
2015-09-30,7.358671039159407e-05,22
2015-10-31,0.00012148616562693455,22
2015-11-30,0.00016319605828085188,21
2015-12-31,0.00021936470876425995,22
2016-01-31,0.00020167548103416715,19
2016-02-29,8.332325088612352e-05,19
2016-03-31,3.696659535516259e-05,19
2016-04-30,3.512658260994069e-05,21
2016-05-31,6.845639539568643e-05,22
2016-06-30,5.6083502272881074e-05,22
2016-07-31,5.03764692529995e-05,21
2016-08-31,2.4373910894770313e-05,23
2016-09-30,7.557491795591616e-05,22
2016-10-31,4.8260765092994136e-05,23
2016-11-30,0.00024154279641718044,21
2016-12-31,4.148503562925138e-05,21
2017-01-31,1.715608043568451e-05,20
2017-02-28,1.0606268406327876e-05,18
2017-03-31,1.4791192159799418e-05,20
2017-04-30,6.814819112303649e-06,19
2017-05-31,1.854551304055819e-05,22
2017-06-30,2.8198563188956174e-05,21
2017-07-31,4.72482902823796e-05,22
2017-08-31,3.273407113378255e-05,23
2017-09-30,3.1670362444795476e-05,21
2017-10-31,1.1597657950181843e-05,23
2017-11-30,1.705641650920449e-05,21
2017-12-31,2.1507842012438776e-05,21
2018-01-31,3.842945407917667e-05,20
2018-02-28,0.00024334633207605816,18
2018-03-31,0.00011679822494507165,19
2018-04-30,9.465090185185946e-05,19
2018-05-31,3.860462074609644e-05,22
2018-06-30,4.46884966467897e-05,22
2018-07-31,3.699273144742784e-05,22
2018-08-31,2.7461376265440344e-05,23
2018-09-30,3.6852003473820805e-05,21
2018-10-31,8.329686907472909e-05,23
2018-11-30,6.450525792875186e-05,21
2018-12-31,9.952266274926935e-05,21
2019-01-31,5.876257247617091e-05,19
2019-02-28,6.48934404443023e-05,17
2019-03-31,2.4297098526150252e-05,19
2019-04-30,2.541427682620379e-05,19
2019-05-31,3.528015870783914e-05,22
2019-06-30,9.24176739165577e-05,21
2019-07-31,3.457952874665158e-05,22
2019-08-31,8.931528078878036e-05,22
2019-09-30,0.00014566024879368212,22
2019-10-31,6.806196561222712e-05,23
2019-11-30,4.5291035647145416e-05,21
2019-12-31,1.9759977072307528e-05,22
2020-01-31,3.326168088365147e-05,20
2020-02-29,0.00014698871141318858,19
2020-03-31,0.0010745249047248685,20
2020-04-30,0.0007962648670442672,20
2020-05-31,0.0005894541221063218,21
2020-06-30,0.00016283308354182082,21
2020-07-31,0.00014966319378452987,22
2020-08-31,0.00015119354588939707,23
2020-09-30,0.0002260357369672316,22
2020-10-31,0.0002905625350578905,22
2020-11-30,0.00035530890271570257,21
2020-12-31,4.0035267671621324e-05,22
2021-01-31,0.00011160065350129845,19
2021-02-28,3.89964683057694e-05,18
2021-03-31,0.0001297802567230928,19
2021-04-30,3.7318085474729654e-05,21
2021-05-31,9.450545367335834e-05,22
2021-06-30,9.151709745549067e-05,21
2021-07-31,8.692586236011235e-05,21
2021-08-31,2.0066469733457444e-05,23
2021-09-30,5.95110177245324e-05,22
2021-10-31,7.26205527595331e-05,22
2021-11-30,0.0001659995480814749,21
2021-12-31,0.00017842534757489458,22
2022-01-31,5.352952422312585e-05,21
2022-02-28,0.0001571431699404123,19
2022-03-31,9.880427275909082e-05,20
2022-04-30,0.0001563164159187674,20
2022-05-31,0.00023057493692786116,22
2022-06-30,0.0001244248442729475,20
2022-07-31,0.0002017981280297763,20
2022-08-31,9.654643398434353e-05,22
2022-09-30,0.00010962883684686558,22
2022-10-31,0.00023242561239004134,23
2022-11-30,0.0008812877955668378,21
2022-12-31,5.984086153979492e-05,21
2023-01-31,7.831380620993255e-05,20
2023-02-28,0.0001497786549583253,18
2023-03-31,0.00015650000102458372,20
2023-04-30,7.163912683985621e-05,19
2023-05-31,5.494233887292327e-05,22
2023-06-30,3.9327390173310766e-05,20
2023-07-31,5.18537886696768e-05,21
2023-08-31,2.977027976499975e-05,22
2023-09-30,4.196883832833125e-05,21
2023-10-31,8.11846021618959e-05,23
2023-11-30,5.3899664543416254e-05,21
2023-12-31,6.190431411615557e-05,21
2024-01-31,1.6290294225260524e-05,20
2024-02-29,2.013853362280865e-05,19
2024-03-31,3.034627934250762e-05,19
2024-04-30,5.39200511259337e-05,20
2024-05-31,8.834157000723802e-05,22
2024-06-30,8.526829542903155e-05,21
2024-07-31,5.638883853055898e-05,21
2024-08-31,5.50118368830228e-05,21
2024-09-30,3.242214336122461e-05,22
2024-10-31,3.17518093638155e-05,23
2024-11-30,4.046271580922861e-05,21
2024-12-31,4.129521113657727e-05,22
