date,realized_variance,n_oos_days
2015-01-31,0.00011808156622411559,19
2015-02-28,4.972266255786697e-05,19
2015-03-31,0.0001105909181144717,19
2015-04-30,4.10152100305733e-05,20
2015-05-31,2.591145963364216e-05,21
2015-06-30,4.0288563969475535e-05,21
2015-07-31,4.6427504542055956e-05,22
2015-08-31,0.00012905955532117248,23
2015-09-30,7.65481369753757e-05,22
2015-10-31,7.115716180733361e-05,22
2015-11-30,7.784237335412061e-05,21
2015-12-31,0.00012336300027535342,22
2016-01-31,8.870849913009476e-05,19
2016-02-29,5.035821356226829e-05,19
2016-03-31,2.209713514207368e-05,19
2016-04-30,3.220693511672735e-05,21
2016-05-31,5.704180079269509e-05,22
2016-06-30,3.995230493183198e-05,22
2016-07-31,4.220301733158646e-05,21
2016-08-31,2.0549149138736797e-05,23
2016-09-30,7.590280582245586e-05,22
2016-10-31,3.029527769677398e-05,23
2016-11-30,8.987179051623343e-05,21
2016-12-31,3.854965033194013e-05,21
2017-01-31,1.8391523463000286e-05,20
2017-02-28,6.988350754515009e-06,18
2017-03-31,1.258846184087283e-05,20
2017-04-30,8.300734367396266e-06,19
2017-05-31,1.638109865130474e-05,22
2017-06-30,2.1074201341330952e-05,21
2017-07-31,2.5639148783736213e-05,22
2017-08-31,3.392350722053887e-05,23
2017-09-30,9.691167058314828e-06,21
2017-10-31,8.808715624037645e-06,23
2017-11-30,1.6467679228636585e-05,21
2017-12-31,2.1311072323370044e-05,21
2018-01-31,3.847017539916427e-05,20
2018-02-28,0.00024768970138525965,18
2018-03-31,4.386579801462684e-05,19
2018-04-30,5.2374110682021115e-05,19
2018-05-31,3.170005069850521e-05,22
2018-06-30,1.1302142381916185e-05,22
2018-07-31,1.5103882229223877e-05,22
2018-08-31,2.397857959758468e-05,23
2018-09-30,1.9181919521741818e-05,21
2018-10-31,0.00010074357693248161,23
2018-11-30,5.0222645214316106e-05,21
2018-12-31,0.00011538417990063701,21
2019-01-31,4.2611135493996105e-05,19
2019-02-28,4.375410129433922e-05,17
2019-03-31,2.434213998394416e-05,19
2019-04-30,1.6750005533482893e-05,19
2019-05-31,2.969102299470662e-05,22
2019-06-30,5.145191659236443e-05,21
2019-07-31,2.629912151108618e-05,22
2019-08-31,0.00011381804244645309,22
2019-09-30,6.291854870394022e-05,22
2019-10-31,4.508457251058485e-05,23
2019-11-30,2.2378049261707965e-05,21
2019-12-31,1.3078774914146373e-05,22
2020-01-31,3.627831296222444e-05,20
2020-02-29,0.00014572312930421786,19
2020-03-31,0.00144636875832652,20
2020-04-30,0.0005543684661648039,20
2020-05-31,0.00040281302469842383,21
2020-06-30,0.0001533630020103371,21
2020-07-31,0.0001289700796613508,22
2020-08-31,0.00011319408413559225,23
2020-09-30,0.00022287724644161377,22
2020-10-31,0.00017689484037221447,22
2020-11-30,0.00010759941224065227,21
2020-12-31,3.808972359725728e-05,22
2021-01-31,0.0001124020815100708,19
2021-02-28,3.8632881236622505e-05,18
2021-03-31,0.0001281150862354315,19
2021-04-30,3.452209712976325e-05,21
2021-05-31,8.693383527230213e-05,22
2021-06-30,7.766643365956493e-05,21
2021-07-31,8.414155609680467e-05,21
2021-08-31,1.769724471445778e-05,23
2021-09-30,5.3736221516925186e-05,22
2021-10-31,6.670478513042436e-05,22
2021-11-30,7.360255918066337e-05,21
2021-12-31,6.448525743836636e-05,22
2022-01-31,3.760641099832058e-05,21
2022-02-28,0.00013685369722704412,19
2022-03-31,8.983692147104001e-05,20
2022-04-30,0.00014906714593386112,20
2022-05-31,0.00022824389622978127,22
2022-06-30,0.0001242145448367229,20
2022-07-31,0.000174626568135985,20
2022-08-31,8.346231879528305e-05,22
2022-09-30,0.00011540863921179515,22
2022-10-31,0.000201140469776649,23
2022-11-30,0.0003412986423648715,21
2022-12-31,5.189499065066667e-05,21
2023-01-31,7.239719513938487e-05,20
2023-02-28,0.0001026230842055691,18
2023-03-31,0.0001546843141001203,20
2023-04-30,5.370636453102206e-05,19
2023-05-31,3.118913600707768e-05,22
2023-06-30,3.641020027818146e-05,20
2023-07-31,3.272990107813073e-05,21
2023-08-31,2.5159111027588813e-05,22
2023-09-30,3.943794686026112e-05,21
2023-10-31,6.718468463516883e-05,23
2023-11-30,3.178731543841579e-05,21
2023-12-31,4.430248183909503e-05,21
2024-01-31,1.643619118261557e-05,20
2024-02-29,1.8404368786456328e-05,19
2024-03-31,2.32540567960379e-05,19
2024-04-30,4.620295736776103e-05,20
2024-05-31,6.301484541550316e-05,22
2024-06-30,5.725344548184076e-05,21
2024-07-31,4.331779198558866e-05,21
2024-08-31,6.255717799313998e-05,21
2024-09-30,2.7622467990601794e-05,22
2024-10-31,2.8862488993227816e-05,23
2024-11-30,4.100188977010569e-05,21
2024-12-31,4.588482878089318e-05,22
